2026-04-12 17:25:20.867707 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000246
2026-04-12 17:25:21.068906 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000066
2026-04-12 17:25:21.270486 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000206
2026-04-12 17:25:21.472047 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000223
2026-04-12 17:25:21.673261 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000037
2026-04-12 17:25:21.875050 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000193
2026-04-12 17:25:22.076552 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000166
2026-04-12 17:25:24.280416 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000057
2026-04-12 17:25:24.481535 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000061
2026-04-12 17:25:24.682766 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000067
2026-04-12 17:25:24.884959 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000055
2026-04-12 17:25:25.086083 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000061
2026-04-12 17:25:25.313824 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000072
2026-04-12 17:25:28.315494 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000249
2026-04-12 17:25:30.390074 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010804
2026-04-12 17:25:33.404085 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011128
2026-04-12 17:25:35.375182 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000193
2026-04-12 17:25:38.377012 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000208
2026-04-12 17:25:40.294883 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000144
2026-04-12 17:25:42.297142 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000295
2026-04-12 17:25:44.298816 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000187
2026-04-12 17:25:45.605249 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200919
2026-04-12 17:25:48.807358 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200593
2026-04-12 17:25:50.316512 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000179
2026-04-12 17:25:50.518540 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000167
2026-04-12 17:25:50.719594 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000121
2026-04-12 17:25:50.920764 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000075
2026-04-12 17:25:51.122791 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000227
2026-04-12 17:25:51.324210 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000194
2026-04-12 17:25:51.526074 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000180
2026-04-12 17:25:51.727714 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000200
2026-04-12 17:25:51.928929 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000084
2026-04-12 17:25:52.131123 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000233
2026-04-12 17:25:54.338146 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000228
2026-04-12 17:25:54.539868 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000056
2026-04-12 17:25:54.740947 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000143
2026-04-12 17:25:54.942492 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000151
2026-04-12 17:25:55.143995 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000173
2026-04-12 17:25:55.329843 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000145
2026-04-12 17:25:58.332113 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000209
2026-04-12 17:26:00.539996 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200774
2026-04-12 17:26:03.324538 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000177
2026-04-12 17:26:05.325901 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000020
2026-04-12 17:26:07.327065 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000072
2026-04-12 17:26:09.534004 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200686
2026-04-12 17:26:12.736745 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200736
2026-04-12 17:26:13.344158 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000185
2026-04-12 17:26:16.345802 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000201
2026-04-12 17:26:19.350497 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000138
2026-04-12 18:03:40.125556 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000209
2026-04-12 18:03:43.128180 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000342
2026-04-12 18:03:45.144970 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010867
2026-04-12 18:03:48.158091 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010545
2026-04-12 18:03:50.222157 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000110
2026-04-12 18:03:53.224387 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000274
2026-04-12 18:03:55.341613 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.201150
2026-04-12 18:03:58.544127 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200731
2026-04-12 18:04:00.256408 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000190
2026-04-12 18:04:01.258666 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000345
2026-04-12 18:04:02.260357 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000206
2026-04-12 18:04:03.262322 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000263
2026-04-12 18:04:04.264481 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000247
2026-04-12 18:04:05.157137 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000156
2026-04-12 18:04:08.159373 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000279
2026-04-12 18:04:10.210717 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000061
2026-04-12 18:04:13.217544 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000267
2026-04-12 18:04:15.165522 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000314
2026-04-12 18:04:18.167228 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000197
2026-04-12 18:04:19.192164 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010674
2026-04-12 18:04:22.205456 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010396
2026-04-12 18:04:23.373272 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200779
2026-04-12 18:04:26.576435 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200702
2026-04-12 18:04:29.203709 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010953
2026-04-12 18:04:32.186118 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000202
2026-04-12 18:04:35.187719 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000240
2026-04-12 18:04:36.190976 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000216
2026-04-12 18:04:39.193356 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000293
2026-04-12 18:06:39.889662 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000222
2026-04-12 18:06:42.891316 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000178
2026-04-12 18:06:44.906443 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000128
2026-04-12 18:06:47.908886 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000227
2026-04-12 18:06:50.118040 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200691
2026-04-12 18:06:53.321211 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200900
2026-04-12 18:06:54.927511 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000192
2026-04-12 18:06:57.930016 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000303
2026-04-12 18:06:59.934286 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000194
2026-04-12 18:07:00.936180 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000232
2026-04-12 18:07:01.938093 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000272
